Private School Name,State Name [Private School] Latest available year,State Name [Private School] 2015-16,Private School Name [Private School] 2015-16,County Name [Private School] 2015-16
ABIDING PEACE ACADEMY,SOUTH CAROLINA,SOUTH CAROLINA,ABIDING PEACE ACADEMY,GREENVILLE
ABIDING SAVIOR LUTHERAN SCHOOL,MISSOURI,MISSOURI,ABIDING SAVIOR LUTHERAN SCHOOL,ST. LOUIS
ABIDING SAVIOR LUTHERAN SCHOOL,CALIFORNIA,CALIFORNIA,ABIDING SAVIOR LUTHERAN SCHOOL,ORANGE
ABIDING WORD LUTHERAN SCHOOL,TEXAS,TEXAS,ABIDING WORD LUTHERAN SCHOOL,HARRIS
ABILENE BAPTIST ACADEMY,KANSAS,KANSAS,ABILENE BAPTIST ACADEMY,DICKINSON
ABILITY SCHOOL,NEW JERSEY,NEW JERSEY,ABILITY SCHOOL,BERGEN
ABINGTON CHRISTIAN ACADEMY,PENNSYLVANIA,PENNSYLVANIA,ABINGTON CHRISTIAN ACADEMY,LACKAWANNA
ABINGTON FRIENDS SCHOOL,PENNSYLVANIA,PENNSYLVANIA,ABINGTON FRIENDS SCHOOL,MONTGOMERY
ABINTRA MONTESSORI SCHOOL,TENNESSEE,TENNESSEE,ABINTRA MONTESSORI SCHOOL,DAVIDSON
ABIQUA SCHOOL,OREGON,OREGON,ABIQUA SCHOOL,MARION
ABIS PLACE,FLORIDA,FLORIDA,ABIS PLACE,BROWARD
ABLE ACADEMY,FLORIDA,FLORIDA,ABLE ACADEMY,COLLIER
ABM MINISTRIES-LIGHTHOUSE CHRISTIAN ACADEMY,MISSOURI,MISSOURI,ABM MINISTRIES-LIGHTHOUSE CHRISTIAN ACADEMY,WAYNE
ABM VIETNAMESE SCHOOL,GEORGIA,GEORGIA,ABM VIETNAMESE SCHOOL,DEKALB
ABNEY CHAPEL CHRISTIAN SCHOOL,NORTH CAROLINA,NORTH CAROLINA,GREATER FAYETTEVILLE ADVENTIST,CUMBERLAND
ABOITE CHRISTIAN SCHOOL,INDIANA,INDIANA,ABOITE CHRISTIAN SCHOOL,ALLEN
ABRAHAM JOSHUA HESCHEL DAY SCHOOL,CALIFORNIA,CALIFORNIA,ABRAHAM JOSHUA HESCHEL DAY SCHOOL,LOS ANGELES
ABRAHAM JOSHUA HESCHEL H S,NEW YORK,NEW YORK,HESCHEL SCHOOL/LOWER & MIDDLE,KINGS
ABRAXAS LEADERSHIP DEVELOPMENT PROGRAM,PENNSYLVANIA,PENNSYLVANIA,ABRAXAS LEADERSHIP DEVELOPMENT PROGRAM,FRANKLIN
ABRAXAS YOUTH CENTER,PENNSYLVANIA,PENNSYLVANIA,ABRAXAS YOUTH CENTER,FRANKLIN
ABSORBENT MINDS MONTESSORI SCHOOL,OHIO,OHIO,ABSORBENT MINDS MONTESSORI SCHOOL,SUMMIT
ABUNDANT LEARNING ACADEMY,FLORIDA,FLORIDA,ABUNDANTCRESCENT CITY CHRISTIAN ACADEMY,PUTNAM
ABUNDANT LIFE ACADEMY,NEW JERSEY,NEW JERSEY,ABUNDANT LIFE ACADEMY,ESSEX
ABUNDANT LIFE ACADEMY,OREGON,OREGON,OREGON COAST ACADEMY,LINCOLN
ABUNDANT LIFE ACADEMY,PENNSYLVANIA,PENNSYLVANIA,ABUNDANT LIFE ACADEMY,ALLEGHENY
ABUNDANT LIFE ACADEMY,NEW YORK,NEW YORK,ABUNDANT LIFE ACADEMY,ULSTER
ABUNDANT LIFE CHRISTIAN ACADEMY,FLORIDA,FLORIDA,ABUNDANT LIFE CHRISTIAN ACADEMY,BROWARD
