county_name,state,hwyprop,ryprop,rate_food_env_neg,pct_pub_transport_log,rate_al_pn_gm_env_log,rate_civic_env_log,rate_ed_env_log,rate_ent_env_log,rate_food_env_pos_log,rate_hc_env_log,rate_rec_env_log,rate_trans_env_log,fatal_rate_log,county_pop_2000,pct_rent_occ,pct_vac_units,med_hh_value,med_hh_inc,pct_pers_lt_pov,pct_no_eng,pct_hs_more,pct_unemp,med_rooms,work_out_co,pct_mt_10units_log,violent_rate_log
Lowndes County,AL,0.0878517,0.1993436,0.0004453,-0.597837,-8.761177,-12.59321,-7.389913,-8.724833,-6.450014,-7.315949,-9.329687,-12.05765,-6.242056,13473,16.56142,15.37666,55500,23050,31.4,1.7,64.3,11.9,5.4,69,-1.049822,6.272978
Macon County,AL,0.0554793,0.1829491,0.0005393,-1.049822,-7.674334,-8.964301,-7.344789,-8.883919,-6.646083,-6.698589,-8.620057,-8.669762,-6.676128,24105,32.71508,15.78056,64200,21180,32.8,4.7,70,12.3,5.3,47.3,1.20896,6.547897
Madison County,AL,0.0422257,0.1351402,0.0008963,-0.7985077,-7.836625,-9.537526,-7.471015,-7.858896,-6.221582,-5.740971,-8.355712,-9.249082,-8.118585,276700,30.13869,8.590217,103300,44704,10.5,5.5,85.4,5.7,5.8,5.8,2.157559,5.988899
Marengo County,AL,0.070202,0.1477593,0.0006655,0.0487902,-8.376997,-9.29269,-7.280052,-8.032609,-6.235117,-6.139338,-8.557755,-8.881757,-7.291141,22539,20.79389,13.42945,65900,27025,25.9,2.5,71.9,8.7,5.5,29.2,0.8544154,6.269794
Marion County,AL,0.0491127,0.1443512,0.0010252,-1.049822,-8.688575,-12.59321,-8.302283,-8.002873,-6.477468,-5.880228,-8.855117,-10.1832,-6.99872,31214,22.14696,11.92425,63500,27475,15.6,2.4,63.2,8.1,5.3,30,0.6151856,6.011458
Marshall County,AL,0.0305712,0.0982265,0.0010823,-1.89712,-8.502797,-9.653585,-7.735234,-8.218943,-6.092125,-5.741936,-8.362543,-10.41098,-7.781585,82231,25.26807,10.41535,80900,32167,14.7,5.8,69.4,5.7,5.4,26.1,0.3715636,1.186318
Mobile County,AL,0.0548802,0.1538142,0.0007903,-0.1625189,-7.89286,-9.554311,-7.692251,-8.139785,-6.428978,-6.032516,-8.6245,-9.887614,-7.446038,399843,31.1475,9.038104,80500,33710,18.5,4.6,76.7,7.6,5.5,8.1,1.967112,7.012993
Monroe County,AL,0.0163736,0.1461229,0.0006167,-1.386294,-8.450002,-10.02013,-8.215794,-8.892614,-6.263326,-6.192626,-8.628404,-12.05765,-8.620057,24324,19.55664,17.27938,66900,29093,21.3,2,67.9,8.4,5.4,15.4,0.5007753,6.278609
Montgomery County,AL,0.0854243,0.1759657,0.0007427,-0.2876821,-8.085086,-8.993658,-7.366384,-7.908515,-6.275846,-5.772024,-8.549974,-9.306851,-8.089151,223510,35.95065,9.816947,87700,35962,17.3,4,80.3,6.7,5.5,6.7,2.047693,6.591091
Morgan County,AL,0.026502,0.1482423,0.0009814,-1.386294,-8.154635,-9.278673,-7.819432,-7.96561,-6.262854,-5.837457,-8.102934,-9.887614,-8.330091,111064,26.88179,7.989365,88600,37803,12.3,4.4,76.3,5.4,5.5,27.7,1.638997,5.42682
